autor_original	autor_normalizado
Placii (Vincentii)	Placii (Vincentii)
Plantii (Cl. Actii)	Plantii (Cl Actii)
Plantin (Jean Baptiste)	Plantin (Juan Baptiste)
Plara et Monara (D. Petri)	Plara et Monara (D Pedro)
Plauti (cum Acci)	Plauti (cum Acci)
Plini (C.)	Plini (C.)
Plini Caecili Secundi (C.)	Plini Caecili Secundi (C.)
Plini (Caii)	Plini (Caii)
Plini Secundi (Caii)	Plini Secundi (Caii)
Plinio (C.)	Plinio (C.)
Plinio (layo)	Plinio (layo)
Plubinell (P. Antonio)	Plubinell (P Antonio)
Pluche (El Abad)	Pluche (El Abad)
Pluche (M.)	Pluche (M.)
Plumier (R.P. Charles)	Plumier (R.P Carlos)
Plutarchus (Efigies Virorum Belli ca Virtute Illustrium)	Plutarchus (Efigies Virorum Belli ca Virtute Illustrium)
Poblacion (Jo. Martino)	Poblacion (Jo Martino)
Pocha (D. Diego)	Pocha (D Diego)
Polignac (Cudhionis & Fratrum heres)	Polignac (Cudhionis & Fratrum heres)
Polini (Carol.)	Polini (Carol.)
Polion (Vitruvio)	Polion (Vitruvio)
Politiani (Angeli)	Politiani (Angeli)
Polleti (Franc.)	Polleti (Franc.)
Polo (C. Reginado)	Polo (C Reginado)
Pomar (D. Francisco López)	Pomar (D Francisco López)
Pombal (Marques)	Pombal
Pomey (P. Fran.)	Pomey (P Fran.)
Pómez (Ant.)	Pómez (Ant.)
Pomme (Andre.)	Pomme (Andre.)
Ponce de León (D. Gonzalo)	Ponce de León (D Gonzalo)
Pone (Salvatoris)	Pone (Salvatoris)
Pontani (Io.)	Pontani (Io.)
Pontani (Joannis Iacii)	Pontani (Joannis Iacii)
Pontani (Petri)	Pontani (Pedro)
Pontano (Gio: Giovano)	Pontano (Gio: Giovano)
Ponte (D. Cayetani y Lidonia)	Ponte (D Cayetani y Lidonia)
Ponte (Tom Franc.)	Ponte (Tom Franc.)
Porcathi (Celr. Tomaso)	Porcathi (Celr Tomaso)
Porcée (Carolus)	Porcée (Carlos)
Porcell (D. Francisco Moreno)	Porcell (D Francisco Moreno)
Porphyrogenita (Constantinus)	Porphyrogenita (Constantinus)
Porphyrogenitus (Constantinus)	Porphyrogenitus (Constantinus)
Porreño (Lic. Balthazar)	Porreño (Lic Balthazar)
Porres (D. Francisco)	Porres (D Francisco)
Porro (F. Francisco)	Porro (F Francisco)
Porta (Jo. Baptista)	Porta (Jo Baptista)
Portello (Suidelmius)	Portello (Suidelmius)
Porter (D. Francisco)	Porter (D Francisco)
Portocarrero (D. Diego Sánchez)	Portocarrero (D Diego Sánchez)
Portocarrero (D. Pedro)	Portocarrero (D Pedro)
Portu (D. Dominici de)	Portu (D Dominici de)
Portugal (D. Juan D.)	Portugal (D Juan D.)
Portugues (D. Jose)	Portugues (D Jose)
Possevini (Antonii)	Possevini (Antonio)
Pouget. (P. Fran.)	Pouget (P Fran.)
Pouget. (P. Francisco)	Pouget (P Francisco)
Poza. (Lic. Andrés de)	Poza (Lic Andrés de)
Pozcachi (id.)	Pozcachi (id.)
Pozo. (P. F. Alonso)	Pozo (P F Alonso)
Pracener (P. F. Franciscus)	Pracener (P F Francisco)
Prader (D. M. Jayme)	Prader (D M Jayme)
Prado (D. Baltasar)	Prado (D Baltasar)
Prado (D. Fran. Perez)	Prado (D Fran Perez)
Prado (D. Lorenzo Ramirez D.)	Prado (D Lorenzo Ramirez D.)
Prado (Hieronymus & Jo. Baptistae Vivalpandi)	Prado (Jerónimo & Jo Baptistae Vivalpandi)
Prado (Matheo)	Prado (Matheo)
Prado y Huerta (D. Francisco)	Prado y Huerta (D Francisco)
Prado y Roca (D. Ant. D.)	Prado y Roca (D Ant D.)
Prateli (N.)	Prateli (N.)
Prateyo (Pardul phius)	Prateyo (Pardul phius)
Premo (Petro)	Premo (Petro)
Prezati (Laurenti)	Prezati (Laurenti)
Prieto y Sotelo (D. Antonio Fernandez)	Prieto y Sotelo (D Antonio Fernandez)
Primeros (Jacob)	Primeros (Jacob)
Probus (H. Valerio)	Probus (H Valerio)
Prooho (Luc)	Prooho (Luc)
Prudenti (Angel)	Prudenti (Angel)
Ptolomei Petri Henrici (Elaud)	Ptolomei Pedro Henrici (Elaud)
Puente (D. Fran.)	Puente (D Fran.)
Puente (D. José Cuartines)	Puente (D José Cuartines)
Puente (D. Pedro Antonio)	Puente (D Pedro Antonio)
Puente (F. Juan de la)	Puente (F Juan de la)
Pueyo (Silverio)	Pueyo (Silverio)
Pufendorf (Samuele)	Pufendorf (Samuele)
Puffendorf (Sam.)	Puffendorf (Sam.)
Puga y Rojas (D. Thomas)	Puga y Rojas (D Tomás)
Pugae et Feijoo (D. Io.)	Pugae et Feijoo (D Io.)
Puig. (D. Santiago)	Puig (D Santiago)
Puimayor y Ordaz (Dn. Felix)	Puimayor y Ordaz (Dn Felix)
Puisegur (M. de Marquis de)	Puisegur (M de Marquis de)
Pulgar (D. D. Pedro Fernandez)	Pulgar (D D Pedro Fernandez)
Pulgar (D. Fernando del)	Pulgar (D Fernando del)
Pulgar (Hernando de)	Pulgar (Hernando de)
Punckmanni et Alij (D. Tridencii)	Punckmanni et Alij (D Tridencii)
Puteani (Petri)	Puteani (Pedro)
Puteano (Enrico)	Puteano (Enrico)
Putei (Cardinalis D. Jacobi)	Putei (Cardinalis D Jacobo)
Puteo (Paris de)	Puteo (Paris de)
Putherbei (Gabrielis)	Putherbei (Gabrielis)
Putteay (Enrico)	Putteay (Enrico)
Pyra (D. Francisco)	Pyra (D Francisco)
Quadrilero (Ilmo. Sr. D. Cayetano)	Quadrilero (Sr D Cayetano)
Quenstadi (Jo. Andreae)	Quenstadi (Jo Andreae)
Querini (Gio Antonio)	Querini (Gio Antonio)
Quesada (D. Antonio)	Quesada (D Antonio)
Quevedo (D. Francisco)	Quevedo (D Francisco)
Quevedo y Villegas (D. Fran.)	Quevedo y Villegas (D Fran.)
Quijano (D. Gabriel)	Quijano (D Gabriel)
Quiney (Marques de)	Quiney
Quintana (Jerónimo)	Quintana (Jerónimo)
Quintanaduennae (Antonio)	Quintanaduennae (Antonio)
Quintanadueñas (Antonio)	Quintanadueñas (Antonio)
Quintanilla (P. Petr.)	Quintanilla (P Petr.)
Quintero (Fernito Carlos)	Quintero (Fernito Carlos)
Quintiliani (M. Fab.)	Quintiliani (M Fab.)
Quiñones (D. Josep)	Quiñones (D Josep)
Quiñones (D. Juan de Allery)	Quiñones (D Juan de Allery)
Quiñones (Il,o. D. Pedro)	Quiñones (Ilo D Pedro)
Quiñones (Juan de)	Quiñones (Juan de)
Quiñonez (D. Francisco)	Quiñonez (D Francisco)
Quiñonez (D. Juan)	Quiñonez (D Juan)
Quiñonez (D. Juan de)	Quiñonez (D Juan de)
Rachelis (Samuelis)	Rachelis (Samuelis)
Racine (Luis)	Racine (Luis)
Rada (D. Francisco Antonio)	Rada (D Francisco Antonio)
Rades (Fr. Franc. L.)	Rades (Fr Franc L.)
Ragis (Mr. le)	Ragis (Mr le)
Rajas (Paulus de)	Rajas (Pablo de)
Rami. (Patris)	Rami (Patris)
Ramirez (D. Petrus)	Ramirez (D Pedro)
Ramirez de Arellano (D. Luis)	Ramirez de Arellano (D Luis)
Ramirez de Carrion (Manuel)	Ramirez de Carrion (Manuel)
Ramirez de Lugue (D. Fernando)	Ramirez de Lugue (D Fernando)
Ramirez de Prado (D. Alfonso)	Ramirez de Prado (D Alfonso)
Ramirez de Trapera (Albanis)	Ramirez de Trapera (Albanis)
Ramirez (Diego)	Ramirez (Diego)
Ramirez (F. Iacobo)	Ramirez (F Iacobo)
Ramirez y Gongora (D. Manuel)	Ramirez y Gongora (D Manuel)
Ramnio (ett. Gio. Batt.)	Ramnio (ett Gio Batt.)
Ramo (D. Antonio)	Ramo (D Antonio)
Ramo (S. Francisci)	Ramo (S Francisco)
Ramo (Viatorum)	Ramo (Viatorum)
Ramos (D. Fran.)	Ramos (D Fran.)
Ramos del Manzano (D. Fran.)	Ramos del Manzano (D Fran.)
Ramques (D. Antonio)	Ramques (D Antonio)
Rapin (Cur.)	Rapin (Cur.)
Rapin (Moigras)	Rapin (Moigras)
Rapolla (Franc.)	Rapolla (Franc.)
Raulin (Cllr.)	Raulin (Cllr.)
Rauzell (Micael)	Rauzell (Micael)
Ravizio Fertonii (Joannis)	Ravizio Fertonii (Joannis)
Raynal (cll. L'Abbe)	Raynal (cll L'Abbe)
Raynandi (R. P. Theophili)	Raynandi (R P Theophili)
Rebbufo (D. Petri)	Rebbufo (D Pedro)
Rebolledo (Conde de)	Rebolledo
Rebolledo (D. Benito)	Rebolledo (D Benito)
Rebolledo (D. Bernardino)	Rebolledo (D Bernardino)
Rechenberg (Adamus)	Rechenberg (Adamus)
Redarmer (Jace)	Redarmer (Jace)
Regii (P. Rami)	Regii (P Rami)
Regio (Joanis de)	Regio (Joanis de)
Regio Monte (To. de)	Regio Monte (To de)
Regmut (Mr. El Abate)	Regmut (Mr El Abate)
Reiffertuel (P. Fr. c. Anacletus)	Reiffertuel (P Fr c Anacletus)
Reimanni (Jacobus)	Reimanni (Jacobo)
Reineccius Steinheimius (Reynex)	Reineccius Steinheimius (Reynex)
Reinessi (Thoma)	Reinessi (Thoma)
Relandi (Letri)	Relandi (Letri)
Remigio (M.)	Remigio (M.)
Remmeri (Cristaei)	Remmeri (Cristaei)
Remmero Leonino (Elia)	Remmero Leonino (Elia)
Rengifo (Juan Diaz)	Rengifo (Juan Diaz)
Reronicay (Ant. Jos.)	Reronicay (Ant Jos.)
Resendi (da)	Resendi (da)
Respublica (Elvetiorum)	Respublica (Elvetiorum)
Reuterfel (Jacobus)	Reuterfel (Jacobo)
Revardi (Tae)	Revardi (Tae)
Revulgo (Mingo)	Revulgo (Mingo)
Reydelio (Georgio Martino)	Reydelio (Georgio Martino)
Reymani (Herm. Sam)	Reymani (Herm Sam)
Reynoso (Micaele de)	Reynoso (Micaele de)
Rhodigini (Ludovici Caelii)	Rhodigini (Luis Caelii)
Rhua (El 13º)	Rhua (El 13º)
Riano y Salamanca (Lic. D. Antonio)	Riano y Salamanca (Lic D Antonio)
Ribadeneira (Fr. Cuartero)	Ribadeneira (Fr Cuartero)
Ribadeneira Nogerol (D. D. Pedro Diaz)	Ribadeneira Nogerol (D D Pedro Diaz)
Ribadeneira (P. Antonio Taquin)	Ribadeneira (P Antonio Taquin)
Ribadeneira (P. Pedro)	Ribadeneira (P Pedro)
Riballii (Aymar)	Riballii (Aymar)
Ribera (Alonso)	Ribera (Alonso)
Ribera (Anastasio Pantaleon)	Ribera (Anastasio Pantaleon)
Ribera (D. Fadrique Enriquez)	Ribera (D Fadrique Enriquez)
Ribera (D. Juan María)	Ribera (D Juan María)
Ribera (F. Manuel Ben.)	Ribera (F Manuel Ben.)
Ribera (Francisci)	Ribera (Francisco)
Ribera (Francisco)	Ribera (Francisco)
Ribera (Illm. Bartholome)	Ribera (Illm Bartholome)
Ribera Márques (D. Pedro de)	Ribera Márques (D Pedro de)
Riberae (R.P. Francisci)	Riberae (R.P Francisco)
Ribero (Antonio Luis)	Ribero (Antonio Luis)
Ribio (Thom.)	Ribio (Thom.)
Riboney (Georg Heine)	Riboney (Georg Heine)
Ricci (Pablo)	Ricci (Pablo)
Riccio (Michaelis)	Riccio (Miguel)
Richard de Beauregard (D. Carlos)	Richard de Beauregard (D Carlos)
Richenii (Christophori)	Richenii (Christophori)
Richeri (Jo.)	Richeri (Jo.)
Ridderi (Franc.)	Ridderi (Franc.)
Rieger (Pauli Josephi)	Rieger (Pablo Josephi)
Rieggeri (Jo. Ant.)	Rieggeri (Jo Ant.)
Rigalti (Nicolai)	Rigalti (Nicolás)
Rio (Cuartini del)	Rio (Cuartini del)
Rio (D. Vicente de)	Rio (D Vicente de)
Rioja (D. Francisco de)	Rioja (D Francisco de)
Rios (Carlos)	Rios (Carlos)
Rios Carquero (D. Jusef de los)	Rios Carquero (D Jusef de los)
Ripae (Lodovici)	Ripae (Lodovici)
Ripalda (P. Geronymo)	Ripalda (P Geronymo)
Ripia (Juan de la)	Ripia (Juan de la)
Ripoll (D. Acacio)	Ripoll (D Acacio)
Risel (Joannis Jacovi)	Risel (Joannis Jacovi)
Riterrhunio (Nicolaus)	Riterrhunio (Nicolás)
Rivo (Guilhelmi D.)	Rivo (Guilhelmi D.)
Rizo (Juan Pablo Martír)	Rizo (Juan Pablo Martír)
Roa Davila (D. J. de)	Roa Davila (D J de)
Roa (S. Martin de)	Roa (S Martin de)
Robert (Matthias)	Robert (Matthias)
Robertelli (Franciscus)	Robertelli (Francisco)
Robertii (Ant.)	Robertii (Ant.)
Robertii (Jo.)	Robertii (Jo.)
Robertii (R.P. Johanne)	Robertii (R.P Johanne)
Robertson (Cll.)	Robertson (Cll.)
Robles (Blas)	Robles (Blas)
Robles (Francisci B.)	Robles (Francisco B.)
Robles (M. Eugenio de)	Robles (M Eugenio de)
Robles Vives (Lic. D. Antonio)	Robles Vives (Lic D Antonio)
Roca (Conde de la Roca)	Roca (de la Roca)
Rocaberti (D. Ramon Domingo de)	Rocaberti (D Ramon Domingo de)
Rocacura (F. Fing)	Rocacura (F Fing)
Rocca (D. Vicente)	Rocca (D Vicente)
Rocca (Fr. Angelus)	Rocca (Fr Angelus)
Rocha (Fran. dela Rocha)	Rocha (Fran dela Rocha)
Rochani (Antichi)	Rochani (Antichi)
Roche foucaul (ouvr. dela)	Roche foucaul (ouvr dela)
Rocis (Francisco de)	Rocis (Francisco de)
Roda y Vayon (D. Juan B.)	Roda y Vayon (D Juan B.)
Rodes y Andrea (Fr. Francisco L.)	Rodes y Andrea (Fr Francisco L.)
Rodríguez  De Almella (Diego)	Rodríguez De Almella (Diego)
Rodríguez Aumente (D. Domingo)	Rodríguez Aumente (D Domingo)
Rodríguez (D. Christoval)	Rodríguez (D Christoval)
Rodríguez (D. Ramón Carlos)	Rodríguez (D Ramón Carlos)
Rodriguez de Fonseca (Lic. D. Bartholome Augustin)	Rodriguez de Fonseca (Lic D Bartholome Augustin)
Rodriguez Enríquez (D. Pedro)	Rodriguez Enríquez (D Pedro)
Rodríguez (F. José)	Rodríguez (F José)
Rodríguez (J. Juan)	Rodríguez (J Juan)
Rodríguez Jordán (D. Salvador)	Rodríguez Jordán (D Salvador)
Rodriguez (M. D. Antonio Josef)	Rodriguez (M D Antonio Josef)
Rodríguez (M. D. José)	Rodríguez (M D José)
Rodríguez Mendoza (Ilmo. Dr. Fr. Francisco)	Rodríguez Mendoza (Dr Fr Francisco)
Rodríguez (P. Fr. Ammanuele)	Rodríguez (P Fr Ammanuele)
Rodríguez (R. P. M. José)	Rodríguez (R P M José)
Rodríguez (Rodrigo)	Rodríguez (Rodrigo)
Roffenni (Joanne)	Roffenni (Joanne)
Rogeranii (Io.)	Rogeranii (Io.)
Rogerio (Constantio)	Rogerio (Constantio)
Rohan (M. L. Dnc.)	Rohan (M L Dnc.)
Roias (D. Ioannis)	Roias (D Ioannis)
Roig (V. Jayme)	Roig (V Jayme)
Roig y iapi (Fr. Iuan Gaspar)	Roig y iapi (Fr Iuan Gaspar)
Roigii (Antonii)	Roigii (Antonio)
Roioumont (Le Sieur)	Roioumont (Le Sieur)
Rois (Fran. Nob.)	Rois (Fran Nob.)
Rojas (D. Antonio)	Rojas (D Antonio)
Rojas (D. Christoval de)	Rojas (D Christoval de)
Rojas (D. Fernando)	Rojas (D Fernando)
Rojas (D. Pedro)	Rojas (D Pedro)
Rojas (El Illmo. D. Bernardo)	Rojas (El Illmo D Bernardo)
Rojas (Episcopi Toannii)	Rojas (Episcopi Toannii)
Rojas et Almansa (D.D. Josephus)	Rojas et Almansa (D Josephus)
Rojas (Ilmo. Francisco de)	Rojas (Francisco de)
Rojas (Joannis)	Rojas (Joannis)
Rojas y Aquila (D. Hermenegildo)	Rojas y Aquila (D Hermenegildo)
Rollin (Carlos)	Rollin (Carlos)
Roma (F. Gil)	Roma (F Gil)
Roma (Fr. Gil)	Roma (Fr Gil)
Roma y Rosell (D. D. Francisco)	Roma y Rosell (D D Francisco)
Román Melendez (Lcdo. D. Pedro)	Román Melendez (Lcdo D Pedro)
Román (P. Manuel)	Román (P Manuel)
Romano (D. Juan)	Romano (D Juan)
Romerio de la Cavallería (D. Francisco)	Romerio de la Cavallería (D Francisco)
Romero (Fr. Francisco)	Romero (Fr Francisco)
Romey (Conde Annibal)	Romey (Annibal)
Ronsor (Juan Christoval)	Ronsor (Juan Christoval)
Ros ureydi (Heribeuti)	Ros ureydi (Heribeuti)
Rosa (D.D. Joseph)	Rosa (D Joseph)
Roscus (Guillelmus)	Roscus (Guillelmus)
Roseau (Mr. J.J.)	Roseau (Mr J.J.)
Roseli (D. Antonio Gregorii)	Roseli (D Antonio Gregorio)
Rosello (Pedro)	Rosello (Pedro)
Rosenthal (Henris)	Rosenthal (Henris)
Roseus (S. Guilelmus)	Roseus (S Guilelmus)
Rosini (Joan.)	Rosini (Joan.)
Roslero (Joh. Eberhardo)	Roslero (Joh Eberhardo)
Roterodami (Eravmi)	Roterodami (Eravmi)
Roth. Scholtzii (Fridenici)	Roth Scholtzii (Fridenici)
Rousset (Mr)	Rousset (Mr)
Rousx (M. Le)	Rousx (M Le)
Rov (Gerard.)	Rov (Gerard.)
Rovichon (Fran.Co.)	Rovichon (Fran.Co.)
Rovillius (Guilielmus)	Rovillius (Guilielmus)
Roy (Hugonis de)	Roy (Hugonis de)
Ruaci (Carolus)	Ruaci (Carlos)
Ruano (D. Francisco Navarro)	Ruano (D Francisco Navarro)
Ruano (D. Miguel)	Ruano (D Miguel)
Ruano (P. Francisco)	Ruano (P Francisco)
Rubei (Theodori)	Rubei (Theodori)
Rubio (Dr. Palacio)	Rubio (Dr Palacio)
Rufo (Juan)	Rufo (Juan)
Rufo (Reymundo)	Rufo (Reymundo)
Rufo (Seroti)	Rufo (Seroti)
Ruiz (Benito)	Ruiz (Benito)
Ruiz de Vergara (Sr. D. Francisco)	Ruiz de Vergara (Sr D Francisco)
Ruiz de Zelada (D. Jose)	Ruiz de Zelada (D Jose)
Ruiz Mñz (Dn Juan)	Ruiz Mñz (Dn Juan)
Ruiz (P. Antonio)	Ruiz (P Antonio)
Ruiz (P. Fr. Francisco)	Ruiz (P Fr Francisco)
Rumiane (D. Toribio de la)	Rumiane (D Toribio de la)
Ruponti (Christoforus Adamii)	Ruponti (Christoforus Adamii)
Rurbequi (Eilenius)	Rurbequi (Eilenius)
Ruscelli (Geronimo)	Ruscelli (Geronimo)
Rustant (D. Jose)	Rustant (D Jose)
Rutgenii (Jani)	Rutgenii (Jani)
Rutilii Tauri (Polladii)	Rutilii Tauri (Polladii)
Rutilio (Bertando et Protio)	Rutilio (Bertando et Protio)
Rybeiro de  Macedo (D. Rodrigo)	Rybeiro de Macedo (D Rodrigo)
Ryegui (Iusti)	Ryegui (Iusti)
Ryibisch (P. Sigefridi)	Ryibisch (P Sigefridi)
S. Antonio (P.F. Joanne)	S Antonio (F Joanne)
S. Benedicto (F. Josephi a)	S Benedicto (F Josephi a)
S. Maria (V.P.D. Josep de)	S Maria (D Josep de)
S. Thomas (Ilm. D. F. Alonso)	S Tomás (Ilm D F Alonso)
Saavedra (D. Diego)	Saavedra (D Diego)
Saavedra y Fajardo (D. Diego)	Saavedra y Fajardo (D Diego)
Saavedra y Rivadeneira (D. Fernando)	Saavedra y Rivadeneira (D Fernando)
Sabani (Jacques)	Sabani (Jacobo)
Sabbecii (Petri)	Sabbecii (Pedro)
Sacrobosco (Joan.)	Sacrobosco (Joan.)
SadoletI (Thom. Jacobi)	SadoletI (Thom Jacobo)
Sáenz de Aguirre (Josef)	Sáenz de Aguirre (Josef)
Saez (P. Fr. Liciniano)	Saez (P Fr Liciniano)
Sagittari (Gasparis)	Sagittari (Gasparis)
Saint Evremont (euvres)	Saint Evremont (euvres)
Saint Julien (Pierre de)	Saint Julien (Pedro de)
Sainte Marthe (P. de)	Sainte Marthe (P de)
Sala (P. Ignacio)	Sala (P Ignacio)
Sala (Pascaio)	Sala (Pascaio)
Sala (R.P.M. Fray Agustín)	Sala (R.M Agustín)
Sala y Abarca (P. Francisco Ventura)	Sala y Abarca (P Francisco Ventura)
Salar... y Carmona (D. Fran.)	Salar y Carmona (D Fran.)
Salarza (P. Farciae)	Salarza (P Farciae)
Salas (D. Fran. Gregorio)	Salas (D Fran Gregorio)
Salas (Josefi Antoni de)	Salas (Josefi Antoni de)
Salazar (Ambrosio)	Salazar (Ambrosio)
Salazar (D. Antonio Martinez)	Salazar (D Antonio Martinez)
Salazar (D. D. Pedro)	Salazar (D D Pedro)
Salazar (D.° Ignacio)	Salazar (D.° Ignacio)
Salazar de la Cámara (D. Jose)	Salazar de la Cámara (D Jose)
Salazar (F. Stephano)	Salazar (F Stephano)
Salazar (Pedro de)	Salazar (Pedro de)
Salazar y Castro (D. Luis)	Salazar y Castro (D Luis)
Salazar y Mendoza (D. Pedro)	Salazar y Mendoza (D Pedro)
Salcedo (D. García)	Salcedo (D García)
Salcedo (D. Pedro Gonzalez)	Salcedo (D Pedro Gonzalez)
Salcedo (Figueroa D. Gaspar)	Salcedo (Figueroa D Gaspar)
Salcedo (Lic. Dn. Pedro González de)	Salcedo (Lic Dn Pedro González de)
Salcedo (R. P. Hieronimi)	Salcedo (R P Hieronimi)
Salcedo y Azcona (M. D. Luis del Cuento)	Salcedo y Azcona (M D Luis del Cuento)
Saldeni (Guilielmi)	Saldeni (Guilielmi)
Salermo (D. re T. Baptista)	Salermo (D re T Baptista)
Sales (S. Francisco S.)	Sales (S Francisco S.)
Salgado Somoza (D. Francisco)	Salgado Somoza (D Francisco)
Salgado y Camargo (P. Fernando)	Salgado y Camargo (P Fernando)
Salinas (Fr. Miguel)	Salinas (Fr Miguel)
Salinas (lic.)	Salinas (lic.)
Salinas Viñuela (D. Michael S.)	Salinas Viñuela (D Miguel S.)
Sallent (Sor Mariana)	Sallent (Sor Mariana)
Salmanio (Claud.)	Salmanio (Claud.)
Salmeron (F. Pascual)	Salmeron (F Pascual)
Salomon (Antonio)	Salomon (Antonio)
Salomon, y Gelabert (D.D.)	Salomon y Gelabert (D.)
Salon de Pace (Sidaco Burgensi)	Salon de Pace (Sidaco Burgensi)
Saloni (Nicolo')	Saloni (Nicolo')
Salonis de Paz (clari)	Salonis de Paz (clari)
Saluti (Christoph)	Saluti (Christoph)
Saly (P. Petrus S.)	Saly (P Pedro S.)
Samaniego (Dn. Félix María de)	Samaniego (Dn Félix María de)
Sambergio (P.)	Sambergio (P.)
Sambuci (To.)	Sambuci (To.)
Sambucii Pannonii (To.)	Sambucii Pannonii (To.)
Sampere (Franc.)	Sampere (Franc.)
Sampier (Dn. Fr. Hipólito de)	Sampier (Dn Fr Hipólito de)
San Alberto (Fr. Jose Antonio)	Alberto (Fr Jose Antonio)
San Felipe (Marqués de)	Felipe (Marqués de)
San Gil (Marques de)	Gil
San Jeronimo (Sor Anna de)	Jeronimo (Sor Anna de)
San José (El Ilm. Y Rmo Dn.Miguel De)	José (El Ilm Y Dn.Miguel De)
San José (P. Fr. Gerónimo de)	José (P Fr Gerónimo de)
San Juan Bautista (F. Agustín)	Juan Bautista (F Agustín)
San Juan (J. Fran.)	Juan (J Fran.)
San Pedro de Alcántara (Fr. Domingo de Palma)	Pedro de Alcántara (Fr Domingo de Palma)
San Pedro (Diego A.)	Pedro (Diego A.)
San Pedro (P. Benito de)	Pedro (P Benito de)
San Román (Fr. Antonio D.)	Román (Fr Antonio D.)
Sanazarí (Jacob)	Sanazarí (Jacob)
Sánchez (Abate D. Ángel)	Sánchez (Abate D Ángel)
Sanchez (D. Diego)	Sanchez (D Diego)
Sánchez (D. Pedro Antonio)	Sánchez (D Pedro Antonio)
Sanchez de Feria y Morales (D. Bartholome)	Sanchez de Feria y Morales (D Bartholome)
Sánchez de la Valleta (Alonso)	Sánchez de la Valleta (Alonso)
Sánchez de Villajos (D. Matheo)	Sánchez de Villajos (D Matheo)
Sánchez (Francisco)	Sánchez (Francisco)
Sanchez (P. Marchias)	Sanchez (P Marchias)
Sanchez (P. Thomas Antonio)	Sanchez (P Tomás Antonio)
Sanchez (R. P. Thomas)	Sanchez (R P Tomás)
Sanchez Santiago (D. Antonio)	Sanchez Santiago (D Antonio)
Sancta Ma (Rhodericus Ferdinandus)	Sancta Ma (Rhodericus Ferdinandus)
Sancta Maria (Dn. Pauli de)	Sancta Maria (Dn Pablo de)
Sancta Maria (S. Honoratus)	Sancta Maria (S Honoratus)
Sancte Marthe (Louix)	Sancte Marthe (Louix)
Sancterelli (Antoni)	Sancterelli (Antoni)
Sancti (Alfonso)	Sancti (Alfonso)
Sancti (Ambrosii)	Sancti (Ambrosii)
Sancti (Augustini)	Sancti (Agustín)
Sancti (Basili)	Sancti (Basili)
Sancti (Bernardini)	Sancti (Bernardini)
Sancti (Bonaventurae)	Sancti (Bonaventurae)
Sancti (Cesarii Episcopi)	Sancti (Cesarii Episcopi)
Sancti (Cirilli)	Sancti (Cirilli)
Sancti (Dionysii)	Sancti (Dionysii)
Sancti (Epifanii)	Sancti (Epifanii)
Sancti (Eulogii)	Sancti (Eulogii)
Sancti (Jerominii)	Sancti (Jerominii)
Sancto Augustino (R.P. M. F. Hieronymo a)	Sancto Augustino (R.P M F Hieronymo a)
Sancto Josepho (P.P. Michaelis)	Sancto Josepho (P Miguel)
Sandei (Felini)	Sandei (Felini)
Sandery (Antonius)	Sandery (Antonio)
Sandoval (D. Francisco)	Sandoval (D Francisco)
Sandoval (Hl. D. F. Prudencio)	Sandoval (Hl D F Prudencio)
Sandoval (Roque de)	Sandoval (Roque de)
Sanmarco (Ottavio)	Sanmarco (Ottavio)
Sanovino (M. Francisco)	Sanovino (M Francisco)
Sant Pierre (M. l'Abbé de)	Sant Pedro (M l'Abbé de)
Santa Maria (F. Francisco)	Maria (F Francisco)
Santa Maria (Fr. Antonio de)	Maria (Fr Antonio de)
Santamaria (D. Vicente)	Santamaria (D Vicente)
Santans (D. Juan)	Santans (D Juan)
Santayana Brutillo (Dr.  D. Lorenzo)	Santayana Brutillo (Dr D Lorenzo)
Santayana (Laurent.)	Santayana (Laurent.)
Santius. (Thomas)	Santius (Tomás)
Santo (Fr. Fivelis)	(Fr Fivelis)
Santos (D. Francisco)	Santos (D Francisco)
Santos (P.. Fr. de)	Santos (P Fr de)
Sanvii. (F. Francisci)	Sanvii (F Francisco)
Sarajin (cit.)	Sarajin (cit.)
Sarasion (D. Ludovico à)	Sarasion (D Ludovico à)
Sarbievii (Mathiae Carimini)	Sarbievii (Mathiae Carimini)
Sardina Mimoso (Juan)	Sardina Mimoso (Juan)
Sarmiento de Gamboa (Pedro)	Sarmiento de Gamboa (Pedro)
Sarmiento (Franciscus)	Sarmiento (Francisco)
Sarmiento (P. F. Martín)	Sarmiento (P F Martín)
Sarramendi (D. Manuel)	Sarramendi (D Manuel)
Sarribeniensis (Toa)	Sarribeniensis (Toa)
Sarti (Alexandri)	Sarti (Alexandri)
Sarvini (Omfri)	Sarvini (Omfri)
Sarzana (Jacobus)	Sarzana (Jacobo)
Sarzii (Wolfgangi)	Sarzii (Wolfgangi)
Satomi (Bartholomaei)	Satomi (Bartholomaei)
Saulus (Largual)	Saulus (Largual)
Saura (Antonii de)	Saura (Antonio de)
Sauromani (Georgii)	Sauromani (Jorge)
Sautel (P. Pedro Turti)	Sautel (P Pedro Turti)
Sauve (Cllr.)	Sauve (Cllr.)
Savaniego (Garbar)	Savaniego (Garbar)
Savino (D. Oliva)	Savino (D Oliva)
Savonanole (Hijeronimi)	Savonanole (Hijeronimi)
Savonien (Mr.)	Savonien (Mr.)
Savot (Loris)	Savot (Loris)
Sayas Ravanera y Ortubia (D. Francisco Diego de)	Sayas Ravanera y Ortubia (D Francisco Diego de)
